행정구역(시군)별(1),시점,발생량,재활용
광양시,2002,131,41
광양시,2003,125.7,51.1
광양시,2004,118,41.4
광양시,2005,132.6,67.5
광양시,2006,132.2,43.8
광양시,2007,127.1,64.7
광양시,2008,188.6,114.5
광양시,2009,125.9,56.7
광양시,2010,131,54.1
